rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,log,log_src
1,on,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,chain,1,5962.0,5962.0,639.0,5320.0,606.9,356x718x134,36.89,8.0,159,326.9,0.285,0.4,101.9,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,1,9.095e-13,9,0,on_r3_mountain_terrain_following_r3_dense_corridor_r1.log,path_manager_20260811_150206.log
1,direct_off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,direct,1,10143.0,,,,491.0,356x718x134,36.89,8.0,,,0.333,0.0,97.1,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,2,,9,0,direct_off_r3_mountain_terrain_following_r3_dense_corridor_r1.log,path_manager_20260811_150229.log
1,off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,,1,1991.0,,,,654.0,467x763x125,34.29,7.1,,,,,5492.0,,,,,,,,,7,7,0,0,3,,7,0,off_r3_mountain_terrain_following_r3_dense_overlap_r1.log,path_manager_20260811_150257.log
1,on,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,,1,2009.0,,,,665.7,467x763x125,34.29,7.1,,,,,5492.0,,,,,,,,,7,7,0,0,3,,7,0,on_r3_mountain_terrain_following_r3_dense_overlap_r1.log,path_manager_20260811_150316.log
1,direct_off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,auto-N below threshold (phase mode: direct); single-shot fallback failed too,,1,1706.0,,,,664.0,467x763x125,34.29,7.1,,,,,5492.0,,,,,,,,,7,7,0,0,1,,7,0,direct_off_r3_mountain_terrain_following_r3_dense_overlap_r1.log,path_manager_20260811_150335.log
1,off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,chain,1,10532.0,10532.0,323.0,10208.0,304.8,279x763x125,34.29,7.75,141,322.3,0.083,0.8,104.6,bank angle,0.8140,3.9,0,0.0,52,true,0.10,1,1,0,0,0,1.017e-12,1,0,off_r3_mountain_terrain_following_r3_goal_in_zone_r1.log,path_manager_20260811_150354.log
1,on,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,chain,1,4107.0,4108.0,319.0,3786.0,304.2,279x763x125,34.29,7.5,134,322.4,0.079,0.8,104.7,bank angle,0.8139,3.9,0,0.0,51,true,0.10,1,1,0,0,0,4.547e-13,1,0,on_r3_mountain_terrain_following_r3_goal_in_zone_r1.log,path_manager_20260811_150422.log
1,direct_off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,direct,1,8298.0,,,,182.6,279x763x125,34.29,7.75,,,0.053,2.3,106.7,bank angle,0.8140,3.9,0,0.0,52,true,0.10,1,1,0,0,2,,1,0,direct_off_r3_mountain_terrain_following_r3_goal_in_zone_r1.log,path_manager_20260811_150443.log
1,off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,chain,2,10001.0,10002.0,1501.0,8498.0,1472.6,317x740x126,34.67,6.62,162,320.3,0.179,1.6,102.6,bank angle,0.0010,0.0,0,0.0,25,true,0.10,7,7,0,0,1,6.431e-13,5,0,off_r3_mountain_terrain_following_r3_mixed_terrain_zones_r1.log,path_manager_20260811_150509.log
1,on,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,chain,2,10313.0,10313.0,1502.0,8302.0,1473.7,317x740x126,34.67,6.62,162,320.6,0.179,1.6,102.6,bank angle,0.0010,0.0,0,0.0,23,true,0.10,7,7,0,0,3,4.441e-16,5,0,on_r3_mountain_terrain_following_r3_mixed_terrain_zones_r1.log,path_manager_20260811_150536.log
