rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,yaw_seed,standoff_zone_contacts,zone_clearance_qmin,plan_outcome,plan_reason,yaw_seed_mode,hard_zone_qmin,hard_zone_t0,hard_zone_t1,hard_zone_runs,log,log_src
1,on,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,chain,1,5918.0,5918.0,671.0,5244.0,638.3,356x718x134,36.89,8.0,159,326.9,0.285,0.4,101.9,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,1,9.095e-13,9,0,69144235,0,0.39104,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,on_r3_mountain_terrain_following_r3_dense_corridor_r1.log,path_manager_20260812_074454.log
1,direct_off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,direct,1,9769.0,,,,482.3,356x718x134,36.89,8.0,,,0.333,0.0,97.1,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,2,,9,0,69144235,0,0.39027,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_dense_corridor_r1.log,path_manager_20260812_074517.log
1,off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,,1,2044.0,,,,689.4,467x763x125,34.29,7.1,,,,,5492.0,,,,,,,,,7,7,0,0,3,,7,0,69144235,,,FAILED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,FIXED,,,,,off_r3_mountain_terrain_following_r3_dense_overlap_r1.log,path_manager_20260812_074544.log
1,on,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,,1,1992.0,,,,678.6,467x763x125,34.29,7.1,,,,,5492.0,,,,,,,,,7,7,0,0,3,,7,0,69144235,,,FAILED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,FIXED,,,,,on_r3_mountain_terrain_following_r3_dense_overlap_r1.log,path_manager_20260812_074603.log
1,direct_off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,auto-N below threshold (phase mode: direct); single-shot fallback failed too,,1,1693.0,,,,674.9,467x763x125,34.29,7.1,,,,,5492.0,,,,,,,,,7,7,0,0,1,,7,0,69144235,,,FAILED,auto-N below threshold (phase mode: direct); single-shot fallback failed too,FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_dense_overlap_r1.log,path_manager_20260812_074623.log
1,off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,chain,1,4375.0,4376.0,334.0,4039.0,318.8,279x763x125,34.29,7.5,134,322.4,0.079,0.8,104.7,bank angle,0.8139,3.9,0,0.0,51,true,0.10,1,1,0,0,0,4.547e-13,1,0,69144235,0,,,,FIXED,,,,,off_r3_mountain_terrain_following_r3_goal_in_zone_r1.log,path_manager_20260812_074642.log
1,on,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,chain,1,4195.0,4195.0,315.0,3878.0,299.5,279x763x125,34.29,7.5,134,322.4,0.079,0.8,104.7,bank angle,0.8139,3.9,0,0.0,51,true,0.10,1,1,0,0,0,4.547e-13,1,0,69144235,0,,,,FIXED,,,,,on_r3_mountain_terrain_following_r3_goal_in_zone_r1.log,path_manager_20260812_074704.log
1,direct_off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,direct,1,6291.0,,,,180.7,279x763x125,34.29,7.5,,,0.099,0.6,103.7,bank angle,0.8139,3.9,0,0.0,51,true,0.10,1,1,0,0,2,,1,0,69144235,0,,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_goal_in_zone_r1.log,path_manager_20260812_074725.log
1,off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,chain,2,10933.0,10933.0,1542.0,9389.0,1512.9,317x740x126,34.67,6.62,162,320.3,0.179,1.6,102.6,bank angle,0.0010,0.0,0,0.0,25,true,0.10,7,7,0,0,1,6.431e-13,5,0,69144235,0,,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,off_r3_mountain_terrain_following_r3_mixed_terrain_zones_r1.log,path_manager_20260812_074748.log
1,on,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,chain,2,14094.0,14095.0,1731.0,11746.0,1698.8,317x740x126,34.67,6.62,162,320.6,0.179,1.6,102.6,bank angle,0.0010,0.0,0,0.0,23,true,0.10,7,7,0,0,3,4.441e-16,5,0,69144235,0,,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,on_r3_mountain_terrain_following_r3_mixed_terrain_zones_r1.log,path_manager_20260812_074817.log
