rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,zone_pass,total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,hard_zone_contacts,retry_fallback,seam_worst,zones_in_search,leaked_procs,log
3,on,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 2/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,497.2,508x896x117,32.03,3.79,,,,,0.0,,,5,,1,0,path_manager_20260811_084904.log
3,off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,1,3522.0,2188.0,1317.0,2110.7,2377x458x128,35.25,8.71,467,1904.4,0.364,0.0,100.3,maximum thrust,,0,9.095e-13,10,0,path_manager_20260811_084923.log
3,on,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,1,3514.0,2174.0,1324.0,2095.8,2377x458x128,35.25,8.71,467,1905.5,0.15,0.3,106.6,bank angle,,0,1.017e-12,10,0,path_manager_20260811_084944.log
3,off,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,2,7291.0,2867.0,4417.0,2803.6,350x1960x111,29.9,6.26,329,1142.9,0.399,0.0,96.6,maximum thrust,,0,1.286e-12,8,0,path_manager_20260811_085005.log
3,on,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,2,7298.0,2860.0,4430.0,2796.5,350x1960x111,29.9,6.26,329,1143.0,0.284,0.0,96.8,maximum thrust,,0,9.095e-13,8,0,path_manager_20260811_085031.log
3,off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),2,,,,2806.6,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_085057.log
3,on,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),2,,,,2802.3,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_085119.log
3,off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),2,,,,2806.5,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_085140.log
3,on,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),2,,,,2805.2,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_085202.log
3,off,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,2,5881.0,3137.0,2847.0,3085.8,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,,3,1.017e-12,8,0,path_manager_20260811_085224.log
3,on,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,2,5881.0,3096.0,2894.0,3044.8,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,,3,1.017e-12,8,0,path_manager_20260811_085247.log
3,off,r7_encircled_goal,r7_goal_ring,8,8,REJECTED,N=2 shared handoff admits no arrival retry; single-shot fallback failed too,1,,,,261.7,917x356x97,27.95,5.56,,,,,0.0,,,1,,8,0,path_manager_20260811_085311.log
3,on,r7_encircled_goal,r7_goal_ring,8,8,REJECTED,N=2 shared handoff admits no arrival retry; single-shot fallback failed too,1,,,,271.5,917x356x97,27.95,5.56,,,,,0.0,,,1,,8,0,path_manager_20260811_085329.log
4,off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1036.0,998.0,35.0,978.1,1969x489x120,32.05,6.19,100,828.3,0.668,0.0,95.9,maximum thrust,,0,4.547e-13,2,0,path_manager_20260811_085347.log
4,on,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1042.0,1001.0,38.0,981.2,1969x489x120,32.05,6.19,97,827.8,0.597,0.0,93.5,maximum thrust,,0,4.547e-13,2,0,path_manager_20260811_085407.log
4,off,r2_high_altitude_probe,,0,0,CLEAN,,,536.0,339.0,195.0,323.7,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_085426.log
4,on,r2_high_altitude_probe,,0,0,CLEAN,,,526.0,323.0,201.0,308.0,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_085438.log
4,off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1123.0,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_085450.log
4,on,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1104.7,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_085538.log
