Time,BR710_N1[0],BR710_N2[0],Direct Thrust (engine 0 in lbs),BR710_N1[1],BR710_N2[1],Direct Thrust (engine 1 in lbs),Fuel Tank 0,Fuel Tank 1,Fuel Tank 2,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/velocities/ve-kts,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/gear/gear-cmd-norm,/fdm/jsbsim/position/h-agl-ft
7.23,7.22356,7.22356,0,7.22356,7.22356,0,8097.63,8097.63,8097.63,-0.00163888604849138125,-0.0016032180405698242,299.3792230818284,300.820113660365621,0.495656649973100105,-0.00403050893025524732,-15.3466528027458597,322.244578342925479,1,4945.58404207354306
7.232,7.23098,7.23098,0,7.23098,7.23098,0,8097.63,8097.63,8097.63,-0.00051631315539178691,-0.00160231916035316071,299.395223717160775,300.836070764484873,0.495675554260420648,-0.00403371396730232545,-15.3466546685592107,322.257807145361824,1,4944.76538139887998
7.234,7.23842,7.23842,0,7.23842,7.23842,0,8097.63,8097.63,8097.63,0.000602355956825072355,-0.00160142093831117712,299.411235633734634,300.852039136765598,0.495694473177219541,-0.00403691720708934231,-15.3466542949411568,322.271045948030405,1,4943.94635426426885
7.236,7.24586,7.24586,0,7.24586,7.24586,0,8097.63,8097.63,8097.63,0.00171711507847886248,-0.00160052337303277521,299.427258830159701,300.868018775754308,0.49571340672134101,-0.00404011865099795919,-15.3466516897085565,322.28429474949462,1,4943.12696080226124
7.238,7.25331,7.25331,0,7.25331,7.25331,0,8097.63,8097.63,8097.63,0.00282795807335669072,-0.00159962646315122488,299.443293305041891,300.884009679990129,0.495732354890586924,-0.00404331830031159477,-15.346646860690587,322.297553548294843,1,4942.30720114864471
7.24,7.26076,7.26076,0,7.26076,7.26076,0,8097.63,8097.63,8097.63,0.00393487888373513211,-0.00159873020730356237,299.459339056983936,300.900011848011161,0.495751317682718962,-0.00404651615633708911,-15.3466398157285298,322.310822342949621,1,4941.48707544571698
7.242,7.26822,7.26822,0,7.26822,7.26822,0,8097.63,8097.63,8097.63,0.0050378715127147684,-0.00159783460414772102,299.47539608456708,300.916025278330551,0.495770295095464109,-0.00404971222037539547,-15.3466305626757649,322.324101131954819,1,4940.66658382277637
7.244,7.27569,7.27569,0,7.27569,7.27569,0,8097.63,8097.63,8097.63,0.00613693004545799465,-0.00159693965235937303,299.49146438628469,300.932049969380216,0.495789287126540856,-0.00405290649375025878,-15.3466191093975155,322.337389913783852,1,4939.84572642861986
7.246,7.28317,7.28317,0,7.28317,7.28317,0,8097.63,8097.63,8097.63,0.00723204863278347973,-0.00159604535062626667,299.507543960727844,300.948085919679556,0.495808293773587205,-0.00405609897775877949,-15.3466054637707465,322.350688686887622,1,4939.02450339579264
7.248,7.29066,7.29066,0,7.29066,7.29066,0,8097.63,8097.63,8097.63,0.00832322150363961309,-0.00159515169766083313,299.523634806331472,300.964133127602167,0.495827315034259419,-0.00405928967369214092,-15.3465896336839442,322.363997449694921,1,4938.20291485684356
